Date	Month	"HH ID"	coll_counts.hse	coll_counts.room	"Trap ID"	Grid	"UTM X"	"UTM Y"	"Coll Method"	"Trap location"	"Roof Type"	"House eave"	"Fire burn last night"	"# ITN in room"	"#p Sleeping in room"	"#p under ITN in room"	"Time collected"	"Collection form-data entry.data comments"	"#fem An#"	"#bl An#"	"#male An#"	"Total An#"	"#fem Culicines"	"#male Culicines"	"Total Culicines"	"Total Mosquitoes"	"Counts form - data entry.data comments"	fun	gamb	cous	othersp	missspec	"total anoph"	funfem	gamfem	cousfem	otherfem	missfem	gammale	funmale	cousmale	othermale	missmale	funbld	gambld	funpcr	gampcr	leespcr	longpcr	nofragpcr	spzpos
"11/07/2013 00:00"	13-07	203896	1	1	2038961141466	30C10	696033	8967310	CDC	indoor	thatch	open	no	1	4	4			64	1	3	67	0	0	0	67		63	1	0	0	0	64	63	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"11/07/2013 00:00"	13-07	204049	1	1	2040491141466	25C05	690997	8962938	CDC	indoor	thatch	open	no	1	7	0			11	3	0	11	0	0	0	11		11	0	0	0	0	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"11/07/2013 00:00"	13-07	204065	1	1	2040651141466	25C05	690688	8962268	CDC	indoor	thatch	open	no	2	5	5			57	2	0	57	0	0	0	57		57	0	0	0	0	57	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"11/07/2013 00:00"	13-07	204077	1	1	2040771141466	25C05	690859	8962818	CDC	indoor	thatch	open	no	1	4	4			1	0	0	1	3	0	3	4		1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"11/07/2013 00:00"	13-07	204886	1	1	2048861141466	33C05	691541	8970244	CDC	indoor	thatch	open	yes	3	9	7			0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"11/07/2013 00:00"	13-07	204926	1	1	2049261141466	33C05	691580	8970236	CDC	indoor	metal	closed	yes	2	6	0			0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"11/07/2013 00:00"	13-07	204998	1	1	2049981141466	33C05	690895	8970179	CDC	indoor	thatch	open	no	1	8	3			0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"11/07/2013 00:00"	13-07	205279	1	1	2052791141466	33C05	690765	8970708	CDC	indoor	thatch	open	no	1	4	2			0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16/07/2013 00:00"	13-07	203839	1	1	2038391141471	30C10	696093	8967893	CDC	indoor	thatch	open	no	2	5	5			3	1	2	5	0	0	0	5		5	0	0	0	0	5	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"16/07/2013 00:00"	13-07	203891	1	1	2038911141471	30c10	696042	8967314	CDC	indoor	thatch	open	yes	2	8	8			52	0	1	53	0	0	0	53		52	1	0	0	0	53	51	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"16/07/2013 00:00"	13-07	204029	1	1	2040291141471	27C11	696793	8964786	CDC	indoor	thatch	open	no	2	6	6			47	0	0	47	0	0	0	47		47	0	0	0	0	47	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"17/07/2013 00:00"	13-07	203408	1	1	2034081141472	36C07	693128	8973451	CDC	indoor	thatch	open	yes	0	6	0			2	0	0	2	0	0	0	2		2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"17/07/2013 00:00"	13-07	203666	1	1	2036661141472	36C07	693069	8973156	CDC	indoor	thatch	open	no	1	5	4			0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"21/07/2013 00:00"	13-07	203788	1	1	2037881141476	32c17	703539	8969655	CDC	indoor	thatch	open	no	2	6	5			0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"21/07/2013 00:00"	13-07	203796	1	1	2037961141476	32c17	703241	8969405	CDC	indoor	thatch	closed	yes	1	7	5			0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"22/07/2013 00:00"	13-07	203923	1	1	2039231141477	25c17	702859	8962900	CDC	indoor	thatch	open	no	7	3	3			0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"22/07/2013 00:00"	13-07	203964	1	1	2039641141477	27c11	697581	8964665	CDC	indoor	thatch	open	no	1	5	2			9	0	0	9	0	0	0	9		9	0	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"22/07/2013 00:00"	13-07	203965	1	1	2039651141477	27c11	697560	8964639	CDC	indoor	thatch	open	no	0	6	0			23	2	0	23	0	0	0	23		23	0	0	0	0	23	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"22/07/2013 00:00"	13-07	204033	1	1	2040331141477	27c11	696769	8964947	CDC	indoor	thatch	open	no	1	8	6			48	3	1	49	0	0	0	49		47	2	0	0	0	49	46	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"22/07/2013 00:00"	13-07	204037	1	1	2040371141477	38c9	692363	8972661	CDC	indoor								"missing data"	3	2	0	3				"missing Cx data"	"missing Cx data"	3	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"23/07/2013 00:00"	13-07	203170	1	1	2031701141478	38c9	695461	8975721	CDC	indoor	thatch	open	no	0	7	0			0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"23/07/2013 00:00"	13-07	203185	1	1	2031851141478	38c9	698410	8975673	CDC	indoor	thatch	open	no	0	2	0			0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"23/07/2013 00:00"	13-07	203190	1	1	2031901141478	38c9	695356	8975528	CDC	indoor	thatch	open	yes	0	10	0			0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"23/07/2013 00:00"	13-07	203357	1	1	2033571141478	38c9	695276	8975015	CDC	indoor	thatch	open	no	0	7	0			0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"23/07/2013 00:00"	13-07	204600	1	1	2046001141478	38c9	692317	8972605	CDC	indoor	thatch	open	no	2	8	4			0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"23/07/2013 00:00"	13-07	204672	1	1	2046721141478	38c9	692363	8972661	CDC	indoor	thatch	open	no	2	3	3			2	1	0	2	0	0	0	2		2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"21/08/2013 00:00"	13-08	203143	1	1	2031431141507	38C9	695395	8975782	CDC	indoor	thatch	open	yes	2	5	0	0.38680555556		0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"21/08/2013 00:00"	13-08	203165	1	1	2031651141507	38C9	695419	8975710	CDC	indoor	thatch	open	no	1	7	0	0.39027777778		0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"21/08/2013 00:00"	13-08	203201	1	1	2032011141507	38c9	695643	8975562	CDC	indoor	thatch	open	yes	1	6	3	0.38402777778		0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"21/08/2013 00:00"	13-08	203586	1	1	2035861141507	36C7	693004	8973320	CDC	indoor	thatch	open	yes	1	5	3	0.39583333333		8	0	0	8	0	0	0	8		8	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
"21/08/2013 00:00"	13-08	203651	1	1	2036511141507	36C7	693204	8973042	CDC	indoor	thatch	open	no	1	9	4	0.40069444444		0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"21/08/2013 00:00"	13-08	204530	1	1	2045301141507	35C6	692367	8972554	CDC	indoor	thatch	open	no	0	6	0	0.40277777778		0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"25/08/2013 00:00"	13-08	203919	1	1	2039191141511	25C17	702926	8962964	CDC	indoor	thatch	open	no	1	3	2	0.33333333333		0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"25/08/2013 00:00"	13-08	203925	1	1	2039251141511	25C17	702859	8962936	CDC	indoor	thatch	open	no	1	6	5	0.30208333333		0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"25/08/2013 00:00"	13-08	203956	1	1	2039561141511	27C11	697483	8964765	CDC	indoor	thatch	open	no	1	4	4	0.34027777778		6	0	0	6	5	0	5	11		5	1	0	0	0	6	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"25/08/2013 00:00"	13-08	203978	1	1	2039781141511	27c11	697602	8964584	CDC	indoor	thatch	open		2	6	3	0.33888888889		15	1	0	15	0	0	0	15		15	0	0	0	0	15	15	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"25/08/2013 00:00"	13-08	204075	1	1	2040751141511	25C5	690670	8962803	CDC	indoor	thatch	open	no	1	2	2	0.24930555556		8	2	0	8	2	0	2	10		8	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0
"25/08/2013 00:00"	13-08	204095	1	1	2040951141511	25C5	690766	8962607	CDC	indoor	thatch	open	no	1	5	3	0.25347222222		0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"25/08/2013 00:00"	13-08	204821	1	1	2048211141511	33C5	691364	8970578	CDC	indoor	thatch	open	yes	2	5	3	0.40972222222		0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
