Date	"HH ID"	Hse	Room	"Trap ID"	Grid	"UTM X"	"UTM Y"	"Coll Method"	"Trap location"	"Roof Type"	"House eave"	"Fire burn last night"	"# ITN"	"#p Slept "	"#p under ITN "	"data comments"
11-Jul-13	203896	1	1	2038961141466	30C10	696033	8967310	CDC	indoor	thatch	open	no	1	3	3
11-Jul-13	204049	1	1	2040491141466	25C05	690997	8962938	CDC	indoor	thatch	open	no	1	6	0
11-Jul-13	204065	1	1	2040651141466	25C05	690688	8962268	CDC	indoor	thatch	open	no	2	4	4
11-Jul-13	204077	1	1	2040771141466	25C05	690859	8962818	CDC	indoor	thatch	open	no	1	3	3
11-Jul-13	204886	1	1	2048861141466	33C05	691541	8970244	CDC	indoor	thatch	open	yes	3	8	6
11-Jul-13	204926	1	1	2049261141466	33C05	691580	8970236	CDC	indoor	metal	closed	yes	2	5	0
11-Jul-13	204998	1	1	2049981141466	33C05	690895	8970179	CDC	indoor	thatch	open	no	1	7	2
11-Jul-13	205279	1	1	2052791141466	33C05	690765	8970708	CDC	indoor	thatch	open	no	1	3	1
16-Jul-13	203839	1	1	2038391141471	30C10	696093	8967893	CDC	indoor	thatch	open	no	2	4	4
16-Jul-13	203891	1	1	2038911141471	30c10	696042	8967314	CDC	indoor	thatch	open	yes	2	7	7
16-Jul-13	204029	1	1	2040291141471	27C11	696793	8964786	CDC	indoor	thatch	open	no	2	5	5
17-Jul-13	203408	1	1	2034081141472	36C07	693128	8973451	CDC	indoor	thatch	open	yes	0	5	0
17-Jul-13	203666	1	1	2036661141472	36C07	693069	8973156	CDC	indoor	thatch	open	no	1	4	3
21-Jul-13	203788	1	1	2037881141476	32c17	703539	8969655	CDC	indoor	thatch	open	no	2	5	4
21-Jul-13	203796	1	1	2037961141476	32c17	703241	8969405	CDC	indoor	thatch	closed	yes	1	6	4
22-Jul-13	203923	1	1	2039231141477	25c17	702859	8962900	CDC	indoor	thatch	open	no	7	2	2
22-Jul-13	203964	1	1	2039641141477	27c11	697581	8964665	CDC	indoor	thatch	open	no	1	4	1
22-Jul-13	203965	1	1	2039651141477	27c11	697560	8964639	CDC	indoor	thatch	open	no	0	5	0
22-Jul-13	204033	1	1	2040331141477	27c11	696769	8964947	CDC	indoor	thatch	open	no	1	7	5
23-Jul-13	203170	1	1	2031701141478	38c9	695461	8975721	CDC	indoor	thatch	open	no	0	6	0
23-Jul-13	203185	1	1	2031851141478	38c9	698410	8975673	CDC	indoor	thatch	open	no	0	1	0
23-Jul-13	203190	1	1	2031901141478	38c9	695356	8975528	CDC	indoor	thatch	open	yes	0	9	0
23-Jul-13	203357	1	1	2033571141478	38c9	695276	8975015	CDC	indoor	thatch	open	no	0	6	0
23-Jul-13	204600	1	1	2046001141478	38c9	692317	8972605	CDC	indoor	thatch	open	no	2	7	3
23-Jul-13	204672	1	1	2046721141478	38c9	692363	8972661	CDC	indoor	thatch	open	no	2	2	2
21-Aug-13	203143	1	1	2031431141507	38C9	695395	8975782	CDC	indoor	thatch	open	yes	2	4	0
21-Aug-13	203165	1	1	2031651141507	38C9	695419	8975710	CDC	indoor	thatch	open	no	1	6	0
21-Aug-13	203201	1	1	2032011141507	38c9	695643	8975562	CDC	indoor	thatch	open	yes	1	5	2
21-Aug-13	203586	1	1	2035861141507	36C7	693004	8973320	CDC	indoor	thatch	open	yes	1	4	2
21-Aug-13	203651	1	1	2036511141507	36C7	693204	8973042	CDC	indoor	thatch	open	no	1	8	3
